entrynum,smiles,pka_type,pka_value,temp,remarks,method,ref,ref_remarks,entry_remarks,original_iupac_name,original_iupac_nickname,source,uniqueid,pressure,acidity_label
122,OCCNCCO,pKAH1,9.404,5,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,9.268,10,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,9.133,15,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,9.005,20,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.883,25,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.759,30,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.632,35,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.518,40,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.406,45,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
122,OCCNCCO,pKAH1,8.297,50,"(m), I=0.009 to 0.1","E1ch, R4",B88,Thermodynamic quantities are derived from the results,- pK = 18.082 – 561.2/T-0.02427T (T in K) t=5–55 deg. C,"ethane, 1-hydroxy-2-(2-hydroxyethyl)amino-",,perrin,perrin0122,,AH
123,OCCCNCCO,pKAH1,8.52,25,C=0.005 to 0.1,"E1ch, R4",S20,,,"ethane, 1-hydroxy-2-(2-hydroxyethylmethyl)amino-",,perrin,perrin0123,,AH
123,OCCCNCCO,pKAH1,8.31,35,C=0.005 to 0.1,"E1ch, R4",S20,,,"ethane, 1-hydroxy-2-(2-hydroxyethylmethyl)amino-",,perrin,perrin0123,,AH
123,OCCCNCCO,pKAH1,8.13,45,C=0.005 to 0.1,"E1ch, R4",S20,,,"ethane, 1-hydroxy-2-(2-hydroxyethylmethyl)amino-",,perrin,perrin0123,,AH
123,OCCCNCCO,pKAH1,7.87,60,C=0.005 to 0.1,"E1ch, R4",S20,,,"ethane, 1-hydroxy-2-(2-hydroxyethylmethyl)amino-",,perrin,perrin0123,,AH
124,NCCOP(=O)(O)O,pKAH2,5.837,5,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.832,10,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.831,15,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.833,20,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.838,25,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.845,30,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.853,35,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.865,40,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.879,45,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
124,NCCOP(=O)(O)O,pKAH2,5.891,50,"(m), I=0.008 to 0.1","E1ch, R4",C37,Thermodynamic quantities are derived from the results,,2-Aminoethyl dihydrogen phosphate,,perrin,perrin0124,,AH
125,NCCOS(=O)(=O)O,pKAH1,9.135,25,"I=0.014, fH+ taken=f+/-(HCl)",E3bg,D6,,,2-Aminoethyl hydrogen sulphate,,perrin,perrin0125,,AH
138,CCCN,pKAH1,10.708,20,(c) I=0.05 to 0.2,E2b,E31,Thermodynamic quantities are derived from the results,,"propane, 1-amino-",,perrin,perrin0138,,AH
138,CCCN,pKAH1,10.047,40,(c) I=0.05 to 0.2,E2b,E31,Thermodynamic quantities are derived from the results,,"propane, 1-amino-",,perrin,perrin0138,,AH
144,NC(CO)(CO)CO,pKAH1,8.221,20,"(m) I=0.005 to 0.2. From ref. and extrapolation to m=0",E3a,B31,,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.076,25,"(m) I=0.005 to 0.2. From ref. and extrapolation to m=0",E3a,B31,,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.937,30,"(m) I=0.005 to 0.2. From ref. and extrapolation to m=0",E3a,B31,,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.85,0,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.6774,5,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.5164,10,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.3616,15,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.2138,20,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,8.0746,25,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.9344,30,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.8031,35,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.6772,40,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.5543,45,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
144,NC(CO)(CO)CO,pKAH1,7.4365,50,(m) I=0.008 to 0.1,E1a,B30,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-hydroxymethyl-",,perrin,perrin0144,,AH
145,CC(N)(CO)CO,pKAH1,9.6116,0,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,9.4328,5,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,9.2658,10,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,9.1049,15,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.9508,20,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.8013,25,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.6588,30,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.5193,35,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.3854,40,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.2569,45,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
145,CC(N)(CO)CO,pKAH1,8.1322,50,(m) I=0.015 to 0.1,"E1ch, R4",H46,Thermodynamic quantities are derived from the results,,"propane, 2-amino-1,3-dihydroxy-2-methyl-",,perrin,perrin0145,,AH
148,NCCCO,pKAH1,9.96,25,C=0.005 to 0.1,"E1ch, R4",S20,,,"propane, 1-amino-3-hydroxy-",,perrin,perrin0148,,AH
148,NCCCO,pKAH1,9.65,35,C=0.005 to 0.1,"E1ch, R4",S20,,,"propane, 1-amino-3-hydroxy-",,perrin,perrin0148,,AH
148,NCCCO,pKAH1,9.38,45,C=0.005 to 0.1,"E1ch, R4",S20,,,"propane, 1-amino-3-hydroxy-",,perrin,perrin0148,,AH
148,NCCCO,pKAH1,8.97,60,C=0.005 to 0.1,"E1ch, R4",S20,,,"propane, 1-amino-3-hydroxy-",,perrin,perrin0148,,AH
192,CC(O)CN(CC(C)O)CC(C)O,pKAH1,7.86,25,C=0.005 to 0.1,"E1ch, R4",S20,Thermodynamic quantities are derived from the results,,"propane, 1-di(2-hydroxypropyl)amino-2-hydroxy-",,perrin,perrin0192,,AH
192,CC(O)CN(CC(C)O)CC(C)O,pKAH1,7.65,35,C=0.005 to 0.1,"E1ch, R4",S20,Thermodynamic quantities are derived from the results,,"propane, 1-di(2-hydroxypropyl)amino-2-hydroxy-",,perrin,perrin0192,,AH
192,CC(O)CN(CC(C)O)CC(C)O,pKAH1,7.34,45,C=0.005 to 0.1,"E1ch, R4",S20,Thermodynamic quantities are derived from the results,,"propane, 1-di(2-hydroxypropyl)amino-2-hydroxy-",,perrin,perrin0192,,AH
